PERMNO,date,VOL,RET,vwretd,ewretd,sprtrn
18542,20070103,6138900,-0.002772,-0.001347,-0.000159,-0.001199
18542,20070104,4060000,-0.002616,0.000547,0.000591,0.001228
18542,20070105,6267100,-0.012787,-0.007288,-0.009809,-0.006085
18542,20070108,3977500,0.001162,0.002567,0.001731,0.00222
18542,20070109,3929100,0.005474,-0.000001,0.000262,-0.000517
18542,20070110,6825100,-0.004949,0.002096,0.001338,0.00194
18542,20070111,7440900,-0.005305,0.007322,0.00776,0.00634
18542,20070112,6560800,-0.004333,0.006142,0.006821,0.004853
18542,20070116,6842100,-0.00837,0.000314,0.000561,0.000818
18542,20070117,7255600,0.01131,-0.000623,-0.000106,-0.000894
18542,20070118,7027600,0.004841,-0.004686,-0.007338,-0.002971
18542,20070119,5561700,-0.008848,0.004345,0.005339,0.002895
18542,20070122,9881100,-0.020212,-0.005371,-0.004337,-0.005278
18542,20070123,8587800,0.023896,0.00522,0.0062,0.003542
18542,20070124,8014800,0.002854,0.008813,0.006918,0.008501
18542,20070125,7482200,-0.001674,-0.010733,-0.007872,-0.01127
18542,20070126,12450500,0.024484,0.000092,0.003034,-0.001208
18542,20070129,9608800,0.009985,0.000142,0.003428,-0.001097
18542,20070130,8942500,0.019125,0.005777,0.005123,0.005772
18542,20070131,9638100,0.018925,0.006344,0.00352,0.006593
18542,20070201,10273000,0.014359,0.006259,0.006416,0.005354
18542,20070202,5971600,0.004001,0.001256,0.002299,0.001694
18542,20070205,5253400,-0.011648,-0.000608,-0.001074,-0.000967
18542,20070206,4873100,-0.001085,0.001509,0.003197,0.000698
18542,20070207,6546300,0.018938,0.002194,0.003716,0.001395
18542,20070208,4528600,-0.000152,-0.000428,0.001075,-0.001179
18542,20070209,5576200,-0.012647,-0.006907,-0.004901,-0.007077
18542,20070212,4977627,-0.003086,-0.003885,-0.002915,-0.003261
18542,20070213,4965188,0.002012,0.00805,0.005359,0.007597
18542,20070214,7522735,0.022092,0.007226,0.004639,0.007644
18542,20070215,9566900,0.022068,0.001728,0.001444,0.001038
18542,20070216,4250200,0.000739,0.000505,0.00264,-0.000872
18542,20070220,6964300,0.003842,0.003575,0.005982,0.002844
18542,20070221,7225300,0.004122,-0.000291,0.001667,-0.001404
18542,20070222,4989400,-0.006304,-0.000382,0.002277,-0.000858
18542,20070223,3777200,-0.007672,-0.002571,0.000068,-0.003564
18542,20070226,3990310,0,-0.001259,-0.00108,-0.001254
18542,20070227,10798400,-0.036128,-0.034111,-0.031231,-0.034725
18542,20070228,9558200,-0.00617,0.004746,0.003802,0.005561
18542,20070301,7994165,-0.008226,-0.002848,-0.004932,-0.002595
18542,20070302,6037500,-0.013459,-0.012475,-0.011435,-0.011403
18542,20070305,6713400,0.002062,-0.012016,-0.017184,-0.009408
18542,20070306,5360600,0.007124,0.016743,0.017683,0.015494
18542,20070307,5284300,0.009588,-0.001346,0.000064,-0.002465
18542,20070308,4206200,0.00109,0.007243,0.005598,0.007127
18542,20070309,3267700,0.001555,0.001629,0.001708,0.000685
18542,20070312,4949100,0.00264,0.003146,0.004002,0.002673
18542,20070313,6294800,-0.019049,-0.020152,-0.017483,-0.020368
18542,20070314,6611900,0.004736,0.005427,0.00228,0.006691
18542,20070315,4547500,-0.002828,0.004783,0.006076,0.003684
18542,20070316,5240007,-0.004727,-0.003609,-0.003144,-0.003828
18542,20070319,5075902,0.015991,0.011054,0.007394,0.010894
18542,20070320,4730800,0.010753,0.006793,0.005634,0.006334
18542,20070321,5865424,0.020814,0.016755,0.012048,0.017081
18542,20070322,4810807,0.004984,-0.000143,0.002375,-0.000348
18542,20070323,3955397,0.00511,0.001714,0.002268,0.001094
18542,20070326,7645678,-0.000598,0.000552,0.00005,0.000968
18542,20070327,4266700,0.000598,-0.005695,-0.004883,-0.006184
18542,20070328,4428700,-0.009569,-0.006998,-0.004442,-0.007966
18542,20070329,3752400,-0.000755,0.003515,0.00198,0.00374
18542,20070330,6216000,0.012691,-0.000367,0.002461,-0.001174
18542,20070402,4917200,-0.004177,0.003036,0.002025,0.002597
18542,20070403,5065355,0.007341,0.008916,0.006778,0.00928
18542,20070404,3257300,0.003569,0.001486,0.001204,0.001113
18542,20070405,3632707,0.002223,0.003625,0.003187,0.00305
18542,20070409,3780650,-0.004288,0.000584,0.000858,0.000589
18542,20070410,3699985,-0.005791,0.00269,0.002476,0.002617
18542,20070411,3779732,-0.008962,-0.005862,-0.004224,-0.006573
18542,20070412,4017847,0.004371,0.006381,0.00578,0.006206
18542,20070413,3449689,0.002251,0.003735,0.005191,0.003488
18542,20070416,5126326,0.001647,0.010486,0.009227,0.010751
18542,20070417,7918995,0.01136,0.001028,-0.000892,0.00205
18542,20070418,9469520,0.025273,0.000312,-0.000862,0.000693
18542,20070419,6963883,-0.006487,-0.002798,-0.004174,-0.001202
18542,20070420,19014960,0.046634,0.009334,0.00788,0.009261
18542,20070423,10759010,0.000418,-0.001734,-0.000693,-0.002304
18542,20070424,6847555,0.013361,-0.000737,-0.001111,-0.000351
18542,20070425,5805974,0.005769,0.009473,0.005081,0.010139
18542,20070426,4511014,-0.003141,-0.000592,-0.00009,-0.000782
18542,20070427,6511280,0.010411,-0.000789,-0.001686,-0.00012
18542,20070430,5221474,-0.015456,-0.009288,-0.008639,-0.007831
18542,20070501,5284792,0.008538,0.001748,-0.000804,0.002651
18542,20070502,4355288,0.002185,0.008281,0.00914,0.006472
18542,20070503,4349402,-0.000545,0.003888,0.001993,0.004325
18542,20070504,3468648,-0.003544,0.002887,0.00265,0.00215
18542,20070507,3632388,-0.005882,0.002603,0.000893,0.002564
18542,20070508,4548500,0.010458,-0.001402,-0.002055,-0.001166
18542,20070509,5651827,0.017976,0.003685,0.003003,0.003223
18542,20070510,4536920,-0.012575,-0.013744,-0.013007,-0.013956
18542,20070511,5549083,0.014497,0.010358,0.008263,0.009641
18542,20070514,8043340,0.018964,-0.0027,-0.004631,-0.001793
18542,20070515,5614050,-0.003801,-0.001857,-0.006056,-0.001304
18542,20070516,5897425,-0.000789,0.007334,0.002548,0.008626
18542,20070517,7426300,-0.014615,-0.000504,-0.002035,-0.000918
18542,20070518,5199400,-0.000935,0.006784,0.005646,0.00661
18542,20070521,4445700,0.00107,0.003246,0.00599,0.001543
18542,20070522,5170700,0.008818,0.000936,0.004045,-0.000643
18542,20070523,5682658,0.006886,-0.000939,-0.000894,-0.001207
18542,20070524,6316294,-0.007892,-0.011321,-0.011304,-0.009703
18542,20070525,3337402,0.003712,0.006378,0.006418,0.005453
18542,20070529,3816357,0.000528,0.00306,0.004874,0.00157
18542,20070530,8564374,0.03604,0.008236,0.004318,0.007984
18542,20070531,5738120,0.001274,0.001608,0.004507,0.000255
18542,20070601,6532040,-0.005599,0.005132,0.005396,0.003737
18542,20070604,3227400,0.00192,0.002108,0.002545,0.001849
18542,20070605,3480865,0.004598,-0.005315,-0.00357,-0.005347
18542,20070606,5395137,0.000381,-0.009361,-0.007294,-0.008864
18542,20070607,6368148,-0.017412,-0.018107,-0.01422,-0.01757
18542,20070608,5266945,0.015651,0.010775,0.006328,0.01137
18542,20070611,3694052,0.002929,0.001117,0.000193,0.000962
18542,20070612,4578928,-0.008508,-0.010828,-0.010319,-0.010682
18542,20070613,7961800,0.023694,0.014169,0.008852,0.015184
18542,20070614,6189540,0.010009,0.00536,0.004925,0.004816
18542,20070615,5900000,0.004707,0.007417,0.007951,0.006527
18542,20070618,4548454,0.009123,-0.000898,0.000237,-0.001213
18542,20070619,4052300,0.007819,0.001779,0.002899,0.001731
18542,20070620,4162400,-0.013456,-0.012711,-0.008315,-0.013601
18542,20070621,5411873,0.001106,0.005389,0.002338,0.00618
18542,20070622,5134700,-0.006996,-0.010741,-0.005932,-0.012896
18542,20070625,4386500,-0.002472,-0.004825,-0.006476,-0.003208
18542,20070626,5537900,-0.00508,-0.004023,-0.003078,-0.003238
18542,20070627,7854800,-0.009715,0.009351,0.008031,0.009009
18542,20070628,4736600,-0.005282,0.000737,0.002357,-0.000418
18542,20070629,7513500,-0.009989,-0.000727,0.000124,-0.001567
18542,20070702,4867025,0.027458,0.01141,0.008541,0.010696
18542,20070703,6266866,-0.030578,0.003443,0.002199,0.00358
18542,20070705,4410300,-0.006411,0.001213,0.001641,0.000348
18542,20070706,4731900,0.017034,0.004469,0.003896,0.003304
18542,20070709,6487200,0.012943,0.001551,0.002156,0.000921
18542,20070710,10013420,0.017412,-0.013594,-0.010451,-0.014185
18542,20070711,6648900,0.011697,0.005066,0.002479,0.005721
18542,20070712,7163475,0.023366,0.017516,0.010693,0.019055
18542,20070713,6340200,0.012368,0.003177,0.001082,0.003101
18542,20070716,6032770,0.009045,-0.003053,-0.004465,-0.001919
18542,20070717,5679400,0.006636,-0.00007,0.00006,-0.000097
18542,20070718,7012954,0.001388,-0.001557,-0.003549,-0.002065
18542,20070719,6257236,0.008698,0.004852,0.005587,0.004469
18542,20070720,38721290,-0.043458,-0.011677,-0.009234,-0.012221
18542,20070723,10071480,-0.014423,0.003035,-0.000493,0.004869
18542,20070724,8273212,-0.004146,-0.020134,-0.019044,-0.019804
18542,20070725,9408705,-0.014205,0.002685,-0.002476,0.004666
18542,20070726,11703390,-0.027453,-0.023861,-0.021884,-0.023339
18542,20070727,12587870,-0.028995,-0.014735,-0.010659,-0.015992
18542,20070730,6766197,0.013418,0.009312,0.004439,0.010254
18542,20070731,11028990,0.022845,-0.010141,-0.003866,-0.012647
18542,20070801,10204670,0.016878,0.00412,-0.005684,0.007243
18542,20070802,6631573,0.006739,0.005971,0.004093,0.004359
18542,20070803,7816863,-0.021197,-0.025938,-0.022608,-0.026586
18542,20070806,7033530,0.025836,0.018019,0.000292,0.024151
18542,20070807,6449713,-0.006914,0.006585,0.005444,0.006159
18542,20070808,6859397,0.005719,0.01562,0.01773,0.014072
18542,20070809,8138913,-0.029913,-0.026896,-0.015539,-0.02965
18542,20070810,8444180,-0.01185,-0.000489,-0.000983,0.000379
18542,20070813,3866600,0.004513,-0.000565,-0.001632,-0.000495
18542,20070814,5190900,-0.014506,-0.019065,-0.017482,-0.018157
18542,20070815,7455522,-0.023707,-0.015667,-0.016756,-0.013908
18542,20070816,16052810,-0.026017,0.001856,-0.003934,0.003249
18542,20070817,10762060,-0.004932,0.024412,0.021044,0.024567
18542,20070820,6780200,0.019411,0.001611,0.004,-0.00027
18542,20070821,4737680,0.003106,0.002159,0.003189,0.001086
18542,20070822,5236500,0.013732,0.013032,0.013399,0.011713
18542,20070823,5548200,-0.001726,-0.00161,-0.002708,-0.001072
18542,20070824,3483400,0.015299,0.01234,0.009734,0.011535
18542,20070827,3136310,-0.004193,-0.008306,-0.004717,-0.008504
18542,20070828,4653000,-0.02421,-0.023438,-0.018346,-0.023473
18542,20070829,4401200,0.011866,0.021819,0.016636,0.021922
18542,20070830,3579600,-0.005064,-0.0038,-0.002015,-0.004181
18542,20070831,3341100,0.014867,0.012294,0.012035,0.011217
18542,20070904,4471946,0.014254,0.011107,0.008003,0.010468
18542,20070905,4675700,-0.017046,-0.010075,-0.007605,-0.011501
18542,20070906,4617400,0.00278,0.004423,0.003937,0.004252
18542,20070907,6397400,-0.030495,-0.016223,-0.012456,-0.016908
18542,20070910,4762100,0.004085,-0.002902,-0.005696,-0.001273
18542,20070911,4689000,0.002034,0.013511,0.009619,0.013632
18542,20070912,5681500,-0.015158,0.000217,-0.001838,0.000048
18542,20070913,4667010,0.003023,0.007388,0.001737,0.00842
18542,20070914,4028800,0.002329,0.001269,0.00202,0.000202
18542,20070917,4660750,0.007244,-0.005811,-0.007233,-0.00512
18542,20070918,7460150,0.05116,0.029284,0.023126,0.029208
18542,20070919,7598050,0.00581,0.00578,0.008313,0.006086
18542,20070920,4515792,-0.006931,-0.005202,-0.004041,-0.006723
